Label,NarratorID_Mapped,NarratorNameAr,NarratorNameAr-Mapped,NarratorNameEn-Mapped,Gender,NarratorGeneration
Anas bin Malik (0),19,أنس بن مالك بن النضر الأنصارى,أنس بن مالك بن النضر,Anas bin Malik (0),Male,Comp.(RA)
Khalid bin al-Walid (0),22,خالد بن الوليد المخزومى سيف الله,خالد بن الوليد بن المغيرة,Khalid bin al-Walid (0),Male,Comp.(RA)
Abu Dharr al-Ghaffari (0),23,أبو ذر الغفارى جندب بن جنادة,جندب بن جنادة أبو ذر الغفاري,Abu Dharr al-Ghaffari (0),Male,Comp.(RA)
Bilal ibn Ribah (0),24,بلال بن رباح مؤذن رسول الله,بلال بن رباح الحبشي المؤذن,Bilal ibn Ribah (0),Male,Comp.(RA)
Ammar ibn Yasir (0),25,عمار بن ياسر أبو اليقظان العنسى,عمار بن ياسر بن عامر,Ammar ibn Yasir (0),Male,Comp.(RA)
Muawiya ibn Abu Sufyan (0),27,معاوية بن أبى سفيان بن حرب الأموى,معاوية بن أبي سفيان,Muawiya ibn Abu Sufyan (0),Male,Comp.(RA)
Amr bin al-Aas (0),28,عمرو بن العاص بن وائل السهمى,عمرو بن العاص بن وائل,Amr bin al-Aas (0),Male,Comp.(RA)
Abdullah bin Amr bin al-Aas (0),29,عبد الله بن عمرو بن العاص,عبد الله بن عمرو بن العاص,Abdullah bin Amr bin al-Aas (0),Male,Comp.(RA)
Hussain ibn Ali ibn Abi Talib (0),31,الحسين بن على بن أبى طالب الهاشمى,حسين بن علي بن أﺑﻲ طالب,Hussain ibn Ali ibn Abi Talib (0),Male,Comp.(RA)
Muadh ibn Jabal (0),32,معاذ بن جبل بن عمرو الأنصارى الخزرجى,معاذ بن جبل بن عمرو بن أوس,Muadh ibn Jabal (0),Male,Comp.(RA)
Abu Ayyub al-Ansari (0),33,خالد بن زيد أبو أيوب الأنصارى,أبو أيوب الأنصاري خالد بن زيد,Abu Ayyub al-Ansari (0),Male,Comp.(RA)
Jabir ibn Abdullah (0),34,جابر بن عبد الله بن عمرو بن حرام الأنصارى,جابر بن عبد الله بن عمرو السلمي الأنصاري,Jabir ibn Abdullah (0),Male,Comp.(RA)
Abu al-Darda (0),37,عويمر بن زيد أبو الدرداء الأنصارى,أبو الدرداء عويمر بن زيد بن قيس الأنصاري,Abu al-Darda (0),Male,Comp.(RA)
Abu Said al-Khudri (0),38,سعد بن مالك بن سنان أبو سعيد الخدرى,أبو سعيد سعد بن مالك بن سنان الخدري,Abu Said al-Khudri (0),Male,Comp.(RA)
Ubayy ibn Kab (0),39,أبىّ بن كعب بن قيس الأنصارى الخزرجى,أبي بن كعب بن قيس,Ubayy ibn Kab (0),Male,Comp.(RA)
Ubada bin As-Samit (0),40,عبادة بن الصامت بن قيس الأنصارى الخزرجى,عبادة بن الصامت بن قيس بن أصرم,Ubada bin As-Samit (0),Male,Comp.(RA)
Abu Musa al-Ashaari (0),41,عبد الله بن قيس أبو موسى الأشعرى,أبو موسى الأشعري,Abu Musa al-Ashaari (0),Male,Comp.(RA)
Nawfal bin Muawiyah al-Dayli (0),43,نوفل بن معاوية بن عروة أبو معاوية الديلى,نوفل بن معاوية بن عروة الديلي,Nawfal bin Muawiyah al-Dayli (0),Male,Comp.(RA)
Usaid bin Hudair bin Sammak (0),45,أسيد بن حضير بن سماك بن عتيك الأنصارى,أسيد بن الحضير بن سماك,Usaid bin Hudair bin Sammak (0),Male,Comp.(RA)
Zayd ibn Thabit (0),49,زيد بن ثابت بن الضحاك بن لوذان النجارى,زيد بن ثابت بن الضحاك بن زيد,Zayd ibn Thabit (0),Male,Comp.(RA)
Usamah ibn Zayd (0),50,أسامة بن زيد بن حارثة بن شراحيل الكلبى,أسامة بن زيد بن حارثة,Usamah ibn Zayd (0),Male,Comp.(RA)
Aisha bint Abi Bakr (0),53,عائشة بنت أبى بكر الصديق أم المؤمنين,أمّ المؤمنين عائشة بنت أبي بكر الصديق,Aisha bint Abi Bakr (0),Famale,Comp.(RA)
Hafsa bint Umar (0),54,حفصة بنت عمر أم المؤمنين,حفصة بنت عمر بن الخطاب أم المؤمنين,Hafsa bint Umar (0),Famale,Comp.(RA)
Umm Salamah (0),56,هند بنت أبى أمية أم سلمة أم المؤمنين,أم سلمة بنت أبي أمية,Umm Salamah (0),Famale,Comp.(RA)
Zaynab bint Jahsh (0),57,زينب بنت جحش أم المؤمنين,زينب بنت جحش الأسدية أم المؤمنين,Zaynab bint Jahsh (0),Famale,Comp.(RA)
Juwayriya bint al-Harith,58,جويرية بنت الحارث أم المؤمنين,جويرية بنت الحارث,Juwayriya bint al-Harith,Famale,Comp.(RA)
Umm Habibah bint Abi Sufyan (0),59,رملة بنت أبى سفيان أم حبيبة أم المؤمنين,"أم حبيبة ,رملة بنت أبي سفيان",Umm Habibah bint Abi Sufyan (0),Famale,Comp.(RA)
Safiyya bint Huyayy,60,صفية بنت حيى أم المؤمنين,صفية بنت حيي بن أخطب,Safiyya bint Huyayy,Famale,Comp.(RA)
Maymuna bint al-Harith (0),61,ميمونة بنت الحارث أم المؤمنين,ميمونة بنت الحارث بن حزن الهلالية,Maymuna bint al-Harith (0),Famale,Comp.(RA)
Fatima bint Muhammad ,63,فاطمة الزهراء بنت رسول الله,فاطمة الزهراء بنت محمد بن عبد الله,Fatima bint Muhammad ,Famale,Comp.(RA)
Asma bint Umays ,69,أسماء بنت عميس الخثعمية,أسماء بنت عميس بن معد,Asma bint Umays ,Famale,Comp.(RA)
Asma bint Abi Bakr (0),70,أسماء بنت أبى بكر الصديق,أسماء بنت أبي بكر الصديق,Asma bint Abi Bakr (0),Famale,Comp.(RA)
Umm Atiyyah Ansariyah (0),71,نسيبة بنت كعب أم عطية الأنصارية,أم عطية الأنصارية,Umm Atiyyah Ansariyah (0),Famale,Comp.(RA)
Khawlah bint Hakim (0),76,خولة بنت حكيم بن أمية السلمية,خولة بنت حكيم بن أمية,Khawlah bint Hakim (0),Famale,Comp.(RA)
Umm Sulaym bint Milhan (0),83,أم سليم بنت ملحان بن خالد الأنصارية,أم سليم بنت ملحان,Umm Sulaym bint Milhan (0),Famale,Comp.(RA)
Umm Kulthum bint Uqba ,95,أم كلثوم بنت عقبة بن أبى معيط الأموية,أم كلثوم بنت عقبة بن أبي معيط,Umm Kulthum bint Uqba ,Famale,Comp.(RA)
al-Abbas ibn Abd al-Muttalib (0),100,العباس بن عبد المطلب بن هاشم,العباس بن عبد المطلب بن هاشم,al-Abbas ibn Abd al-Muttalib (0),Male,Comp.(RA)
Abdullah bin Saalam ,103,عبد الله بن سلام أبو يوسف الإسرائيلى,عبد الله بن سلام بن الحارث أبو يوسف,Abdullah bin Saalam ,Male,Comp.(RA)
Abdullah ibn al-Zubayr (0),106,عبد الله بن الزبير بن العوام الأسدى,عبد الله بن الزبير بن العوام,Abdullah ibn al-Zubayr (0),Male,Comp.(RA)
Abdur Rahman bin Abi Bakr (0),107,عبد الرحمن بن أبى بكر الصديق,عبد الرحمن بن أبي بكر الصديق,Abdur Rahman bin Abi Bakr (0),Male,Comp.(RA)
Abdullah ibn Jafar (0),108,عبد الله بن جعفر بن أبى طالب الهاشمى,عبد الله بن جعفر بن أبي طالب,Abdullah ibn Jafar (0),Male,Comp.(RA)
Abu Usayd Malik bin Rabia (0),113,مالك بن ربيعة أبو أسيد الساعدى,( مالك بن ربيعة أبو أسيد الساعدي الأنصاري ( رضي الله عنه,Abu Usayd Malik bin Rabia (0),Male,Comp.(RA)
Zayd ibn al-Khattab ,114,زيد بن الخطاب بن نفيل,زيد بن الخطاب بن نفيل العدوي,Zayd ibn al-Khattab ,Male,Comp.(RA)
Abu Lubaba bin Abdul Mundhir ,115,أبو لبابة بن عبد المنذر الأنصارى,أبو لبابة بن عبد المنذر,Abu Lubaba bin Abdul Mundhir ,Male,Comp.(RA)
Abu Sufyan ibn Harb (0),116,صخر بن حرب بن أمية أبو سفيان الأموى,صخر بن حرب أبو سفيان,Abu Sufyan ibn Harb (0),Male,Comp.(RA)
Imran bin Husain (0),123,عمران بن حصين بن عبيد أبو نجيد الخزاعى,عمران بن حصين,Imran bin Husain (0),Male,Comp.(RA)
Thawban bin Bujdud (0),130,ثوبان الهاشمى مولى رسول الله,ثوبان مولى رسول الله صلى الله عليه وسلم,Thawban bin Bujdud (0),Male,Comp.(RA)
Fadl ibn al-Abbas (0),135,الفضل بن العباس بن عبد المطلب الهاشمى,الفضل بن العباس بن عبد المطلب,Fadl ibn al-Abbas (0),Male,Comp.(RA)
Habibah bint Ubayd-Allah,139,حبيبة بنت عبيد الله بن جحش الأسدية,حبيبة بنت أم حبيبة بنت أبي سفيان,Habibah bint Ubayd-Allah,Famale,Comp.(RA)
Hudhayfah ibn al-Yaman (0),145,حذيفة بن اليمان العبسى,حذيفة بن اليمان,Hudhayfah ibn al-Yaman (0),Male,Comp.(RA)
Khabbab ibn al-Aratt (0),149,خباب بن الأرت التميمى,خباب بن الأرت,Khabbab ibn al-Aratt (0),Male,Comp.(RA)
Umm Fadl Lubaba bint al-Harith (0),156,لبابة بنت الحارث أم الفضل الهلالية,أم الفضل لبابة بنت الحارث,Umm Fadl Lubaba bint al-Harith (0),Famale,Comp.(RA)
al-Miqdad ibn al-Aswad (0),163,المقداد بن عمرو الكندى ابن الأسود,المقداد بن الأسود الكندي,al-Miqdad ibn al-Aswad (0),Male,Comp.(RA)
al-Mughira ibn Shuba (0),166,المغيرة بن شعبة بن مسعود الثقفى,المغيرة بن شعبة,al-Mughira ibn Shuba (0),Male,Comp.(RA)
Muhammad Ibn Maslama (0),167,محمد بن مسلمة بن سلمة الأنصارى,محمد بن مسلمة بن سلمة,Muhammad Ibn Maslama (0),Male,Comp.(RA)
Abdullah ibn Shaddad (0),169,عبد الله بن شداد بن الهاد الليثى,عبد الله بن شداد بن الهاد الليثي,Abdullah ibn Shaddad (0),Male,Comp.(RA)
Qays ibn Sad ibn Ubadah (0),172,قيس بن سعد بن عبادة الخزرجى الأنصارى,قيس بن سعد بن عبادة الأنصاري,Qays ibn Sad ibn Ubadah (0),Male,Comp.(RA)
Suhayb bin Sinan ar-Rumi (0),182,صهيب بن سنان أبو يحيى الرومى,صهيب بن سنان بن مالك الرومي,Suhayb bin Sinan ar-Rumi (0),Male,Comp.(RA)
Umm Shareek (0),187,أم شريك العامرية الأنصارية,أم شريك العامرية/ الأنصارية/ الدوسية,Umm Shareek (0),Famale,Comp.(RA)
Uqba bin Amir al-Juhayni (0),189,عقبة بن عامر الجهنى,عقبة بن عامر الجهني,Uqba bin Amir al-Juhayni (0),Male,Comp.(RA)
Abdullah b. Zamaa (0),192,عبد الله بن زمعة بن الأسود الأسدى,عبد الله بن زمعة بن الأسود بن المطلب,Abdullah b. Zamaa (0),Male,Comp.(RA)
Umm Hani bint Abi Talib (0),198,أم هانئ بنت أبى طالب الهاشمية,ام هانى بنت أبي طالب,Umm Hani bint Abi Talib (0),Famale,Comp.(RA)
Utbah ibn Ghazwan (0),206,عتبة بن غزوان بن جابر المازنى,عتبة بن غزوان,Utbah ibn Ghazwan (0),Male,Comp.(RA)
Umm Haram bint Milhan (0),209,أم حرام بنت ملحان الأنصارية,أم حرام بنت ملحان,Umm Haram bint Milhan (0),Famale,Comp.(RA)
Adi ibn Hatim al-Tayyi (0),212,عدى بن حاتم بن عبد الله أبو طريف الطائى,عدي بن حاتم الطائي,Adi ibn Hatim al-Tayyi (0),Male,Comp.(RA)
Fatima bint Qays (0),224,فاطمة بنت قيس بن خالد الفهرية,فاطمة بنت قيس,Fatima bint Qays (0),Famale,Comp.(RA)
Abu Burzah al-Aslami (0),227,نضلة بن عبيد أبو برزة الأسلمى,أبو برزة الأسلمي,Abu Burzah al-Aslami (0),Male,Comp.(RA)
Abu Talha Ansari (0),229,زيد بن سهل بن الأسود أبو طلحة الأنصارى,أبو طلحة الأنصاري زيد بن سهل بن الأسود,Abu Talha Ansari (0),Male,Comp.(RA)
Salma ibn al-Akwa (0),237,سلمة بن عمرو بن الأكوع الأسلمى,سلمة بن الأكوع,Salma ibn al-Akwa (0),Male,Comp.(RA)
Zaynab bint Abi Salamah (0),244,زينب بنت أبى سلمة بن عبد الأسد المخزومية,زينب بنت أبي سلمة ,Zaynab bint Abi Salamah (0),Famale,Comp.(RA)
Umar bin Abi Salamah (0),246,عمر بن أبى سلمة بن عبد الأسد المخزومى,عمر بن أبي سلمة بن عبد الأسد,Umar bin Abi Salamah (0),Male,Comp.(RA)
Itban bin Malik bin Amr (0),251,عتبان بن مالك بن عمرو بن العجلان السالمى,عتبان بن مالك بن عمرو بن العجلان,Itban bin Malik bin Amr (0),Male,Comp.(RA)
al-Numan bin Bashir ibn Sad (0),274,النعمان بن بشير بن سعد الأنصارى الخزرجى,النعمان بن بشير,al-Numan bin Bashir ibn Sad (0),Male,Comp.(RA)
Tamim al-Dari (0),382,تميم بن أوس بن خارجة الدارى,تميم الداري,Tamim al-Dari (0),Male,Comp.(RA)
Sulaiman bin Sard (0),383,سليمان بن صرد بن الجون أبو مطرف الخزاعى,سليمان بن صرد أبو مطرف الخزاعي,Sulaiman bin Sard (0),Male,Comp.(RA)
Zayd bin Arqam (0),384,زيد بن أرقم بن زيد بن قيس الأنصارى,زيد بن أرقم الأنصاري,Zayd bin Arqam (0),Male,Comp.(RA)
"Abu Sarma, Malik bin Qays",388,أبو صرمة المازنى الأنصارى,( أبو صرمة المازني الأنصاري ( رضي الله عنه,"Abu Sarma, Malik bin Qays",Male,Comp.(RA)
Shadad bin Aus bin Thabit (0),389,شداد بن أوس بن ثابت الأنصارى,شداد بن أوس بن ثابت,Shadad bin Aus bin Thabit (0),Male,Comp.(RA)
Kab bin Malik bin Abi Kab (0),390,كعب بن مالك الأنصارى السلمى,كعب بن مالك بن أبى كعب,Kab bin Malik bin Abi Kab (0),Male,Comp.(RA)
Abu Qatada ibn Rabi (0),391,أبو قتادة الأنصارى السلمى المدنى,أبو قتادة بن ربعي الأنصاري,Abu Qatada ibn Rabi (0),Male,Comp.(RA)
Samra b. Junada,392,سمرة بن جنادة السوائى,سمرة بن جنادة السوائي,Samra b. Junada,Male,Comp.(RA)
Jabir bin Samra (0),393,جابر بن سمرة بن جنادة السوائى,جابر بن سمرة السوائي,Jabir bin Samra (0),Male,Comp.(RA)
Samra bin Jundub (0),394,سمرة بن جندب بن هلال الفزارى,سمرة بن جندب الفزاري,Samra bin Jundub (0),Male,Comp.(RA)
"Barira, the client of Aisha",397,جارية حبشية لعائشة [ بريرة ],بريرة مولاة عائشة,"Barira, the client of Aisha",Famale,Comp.(RA)
Sahl bin Sad bin Malik (0),399,سهل بن سعد بن مالك الساعدى الأنصارى,سهل بن سعد الساعدي,Sahl bin Sad bin Malik (0),Male,Comp.(RA)
al-Bara bin Azib bin al-Harith (0),400,البراء بن عازب بن الحارث الأنصارى,البراء بن عازب بن الحارث,al-Bara bin Azib bin al-Harith (0),Male,Comp.(RA)
Abu Masud al-Badri (0),402,عقبة بن عمرو أبو مسعود البدرى الأنصارى,"أبو مسعود الأنصاري البدري ,عقبة بن عمر",Abu Masud al-Badri (0),Male,Comp.(RA)
Sahl bin Hunayf (0),403,سهل بن حنيف بن واهب الأنصارى الأوسى,سهل بن حنيف,Sahl bin Hunayf (0),Male,Comp.(RA)
Abu Umama bin Sahl (0),405,أسعد بن سهل بن حنيف أبو أمامة الأنصارى,أسعد أبو أمامة بن سهل بن حنيف,Abu Umama bin Sahl (0),Male,Comp.(RA)
Ibrahim bin Abi Musa al-Ashaari ,409,إبراهيم بن أبى موسى الأشعرى,إبراهيم بن أبي موسى الأشعري,Ibrahim bin Abi Musa al-Ashaari ,Male,Comp.(RA)
Khuzayma bin Thabit (0),410,خزيمة بن ثابت بن الفاكه ذو الشهادتين,خزيمة بن ثابت بن الفاكه,Khuzayma bin Thabit (0),Male,Comp.(RA)
Abdullah bin Abi Talha,422,عبد الله بن أبى طلحة الأنصارى المدنى,عبد الله بن أبي طلحة,Abdullah bin Abi Talha,Male,Comp.(RA)
Hakim ibn Hizam (0),423,حكيم بن حزام بن خويلد أبو خالد الأسدى,حكيم بن حزام بن خويلد,Hakim ibn Hizam (0),Male,Comp.(RA)
Hisham bin Hakim ibn Hizam (0),434,هشام بن حكيم بن حزام القرشى الأسدى,هشام بن حكيم بن حزام القرشي الأسدي,Hisham bin Hakim ibn Hizam (0),Male,Comp.(RA)
Safinah (0),438,سفينة مولى رسول الله أبو عبد الرحمن,سفينة مولى رسول الله صلى الله عليه وسلم,Safinah (0),Male,Comp.(RA)
Safwan bin Umayyah ,449,صفوان بن أمية بن خلف بن وهب الجمحى,صفوان بن أمية بن خلف,Safwan bin Umayyah ,Male,Comp.(RA)
Hassan ibn Thabit (0),452,حسان بن ثابت الشاعر الأنصارى,حسان بن ثابت,Hassan ibn Thabit (0),Male,Comp.(RA)
Rabiah ibn Kab al-Aslami (0),464,ربيعة بن كعب بن مالك أبو فراس الأسلمى,ربيعة بن كعب بن مالك الأسلمي,Rabiah ibn Kab al-Aslami (0),Male,Comp.(RA)
Abu Rafi (0),479,أبو رافع القبطى مولى رسول الله,( أسلم أبو رافع مولى رسول الله ( رضي الله عنه,Abu Rafi (0),Male,Comp.(RA)
Ashuth bin Qays (0),485,الأشعث بن قيس بن معدى كرب الكندى,الأشعث بن قيس بن معدي كرب الكندي,Ashuth bin Qays (0),Male,Comp.(RA)
Abdullah bin Safwan bin Umayyah (0),487,عبد الله بن صفوان بن أمية بن خلف الجمحى,عبد الله بن صفوان بن أمية,Abdullah bin Safwan bin Umayyah (0),Male,Comp.(RA)
Zaynab bint. Abi Muawiya,498,زينب الثقفية امرأة ابن مسعود,زينب بنت أبي معاوية الثقفية,Zaynab bint. Abi Muawiya,Famale,Comp.(RA)
Kathir ibn al-Abbas ,524,كثير بن العباس بن عبد المطلب الهاشمى,كثير بن العباس بن عبد المطلب,Kathir ibn al-Abbas ,Male,Comp.(RA)
Asim bin Umar (0),563,عاصم بن عمر بن الخطاب العدوى,عاصم بن عمر بن الخطاب,Asim bin Umar (0),Male,Comp.(RA)
Musa ibn Talha (2),579,موسى بن طلحة بن عبيد الله التيمى,موسى بن طلحة بن عبيد الله التيمى,Musa ibn Talha (2),Male,Comp.(RA)
Ibrahim bin Abdur Rahman (0),584,إبراهيم بن عبد الرحمن بن عوف الزهرى,إبراهيم بن عبد الرحمن بن عوف الزهرى,Ibrahim bin Abdur Rahman (0),Male,Comp.(RA)
al-Ala bin al-Hadrami (0),586,العلاء بن الحضرمى,العلاء بن الحضرمي,al-Ala bin al-Hadrami (0),Male,Comp.(RA)
Abdullah bin Zayd Mazni (0),605,عبد الله بن زيد بن عاصم الأنصارى المازنى,عبد الله بن زيد المازني,Abdullah bin Zayd Mazni (0),Male,Comp.(RA)
ar-Rubbayi bint Muawwidh bin Afra ,617,الربيع بنت معوذ بن عفراء الأنصارية,الربيع بنت معوذ بن عفراء,ar-Rubbayi bint Muawwidh bin Afra ,Famale,Comp.(RA)
al-Walid bin Ubada bin As-Samit (2),631,الوليد بن عبادة بن الصامت الأنصارى,الوليد بن عبادة بن الصامت,al-Walid bin Ubada bin As-Samit (2),Male,Comp.(RA)
Abbad bin Tameem Mazni (3),639,عباد بن تميم بن غزية الأنصارى المازنى,عباد بن تميم بن غزية الأنصاري,Abbad bin Tameem Mazni (3),Male,Comp.(RA)
Amir bin Rabia bin Malik (0),708,عامر بن ربيعة بن كعب بن مالك العنزى,عامر بن ربيعة بن مالك,Amir bin Rabia bin Malik (0),Male,Comp.(RA)
Abdullah bin Amir bin Rabia (0),709,عبد الله بن عامر بن ربيعة العنزى المدنى,عبد الله بن عامر بن ربيعة,Abdullah bin Amir bin Rabia (0),Male,Comp.(RA)
Muayqayb bin Abi Fatima al-Dausi (0),747,معيقيب بن أبى فاطمة الدوسى,معيقب بن أبي فاطمة الدوسي,Muayqayb bin Abi Fatima al-Dausi (0),Male,Comp.(RA)
Umayr/Amr bin Auf [Abu Amr],764,عمرو بن عوف الأنصارى البدرى,عمير بن عوف مولى سهيل بن عمرو,Umayr/Amr bin Auf [Abu Amr],Male,Comp.(RA)
Abdullah bin Ayyash bin Abi Rabia (0),778,عبد الله بن عياش بن عباس القتبانى,عبد الله بن عياش بن أبي ربيعة,Abdullah bin Ayyash bin Abi Rabia (0),Male,Comp.(RA)
Abdullah bin Sufyan,782,عبد الله بن سفيان أبو سلمة المخزومى,عبد الله بن سفيان بن عبد الأسد,Abdullah bin Sufyan,Male,Comp.(RA)
Mamar bin Abdullah,783,معمر بن عبد الله بن نافع العدوى,معمر بن عبد الله بن نضلة,Mamar bin Abdullah,Male,Comp.(RA)
Abu Marthad al-Ghanvi ,804,كناز بن الحصين أبو مرثد الغنوى,أبو مرثد الغنوي كناز بن الحصين,Abu Marthad al-Ghanvi ,Male,Comp.(RA)
Umm Qays bint Mihsan al-Asadi (0),827,أم قيس بنت محصن الأسدية,أم قيس بنت محصن الأسدية,Umm Qays bint Mihsan al-Asadi (0),Famale,Comp.(RA)
Unbasa bin Abi Sufyan (0),846,عنبسة بن أبى سفيان بن حرب بن أمية الأموى,عنبسة بن أبي سفيان بن حرب بن أمية,Unbasa bin Abi Sufyan (0),Male,Comp.(RA)
Subaya bint al-Harith al-Aslamiyya ,869,سبيعة بنت الحارث الأسلمية,سبيعة بنت الحارث الأسلمية,Subaya bint al-Harith al-Aslamiyya ,Famale,Comp.(RA)
Jubayr bin Mutim (0),871,جبير بن مطعم بن عدى بن نوفل النوفلى,جبير بن مطعم,Jubayr bin Mutim (0),Male,Comp.(RA)
Ubaidullah bin Ady bin al-Khayyar (0),880,عبيد الله بن عدى بن الخيار القرشى,عبيد الله بن عدي بن الخيار,Ubaidullah bin Ady bin al-Khayyar (0),Male,Comp.(RA)
Yala bin Umayya (0),897,يعلى بن أمية بن أبى عبيدة التميمى,يعلى بن أمية,Yala bin Umayya (0),Male,Comp.(RA)
Abd al-Muttalib b. Rabiah b. al-Harith,906,عبد المطلب بن ربيعة بن الحارث الهاشمى,عبد المطلب بن ربيعة بن الحارث,Abd al-Muttalib b. Rabiah b. al-Harith,Male,Comp.(RA)
Abdullah ibn al-Harith ibn Nawfal (0),912,عبد الله بن الحارث بن نوفل الهاشمى,عبد الله بن الحارث بن نوفل,Abdullah ibn al-Harith ibn Nawfal (0),Male,Comp.(RA)
Abdullah bin Qays bin Makhrama (0),929,عبد الله بن قيس بن مخرمة المطلبى,عبد الله بن قيس بن مخرمة بن المطلب,Abdullah bin Qays bin Makhrama (0),Male,Comp.(RA)
Muhammad bin Qays bin Makhrama (0),930,محمد بن قيس بن مخرمة بن المطلب المطلبى,محمد بن قيس بن مخرمة بن المطلب,Muhammad bin Qays bin Makhrama (0),Male,Comp.(RA)
Abdullah bin Buhayna (0),932,عبد الله بن مالك بن القشب ابن بحينة,عبد الله بن بحينة /مالك بن القشب,Abdullah bin Buhayna (0),Male,Comp.(RA)
Abdur Rahman bin Samra (0),955,عبد الرحمن بن سمرة بن حبيب العبشمى,عبد الرحمن بن سمرة,Abdur Rahman bin Samra (0),Male,Comp.(RA)
Judhama bint Jandal al-Asadiyya ,961,جدامة بنت وهب الأسدية,( جذامة بنت جندل/جدامة بنت وهب الأسدية ( رضي الله عنها,Judhama bint Jandal al-Asadiyya ,Famale,Comp.(RA)
Said bin al-As bin Said bin al-As (0),989,سعيد بن العاص بن سعيد بن العاص الأموى,سعيد بن العاص بن سعيد بن العاص بن أمية,Said bin al-As bin Said bin al-As (0),Male,Comp.(RA)
Kab bin Amr bin Ubbad,1040,كعب بن عمرو بن عباد أبو اليسر السلمى,"أبو اليسر , كعب بن عمرو بن عباد",Kab bin Amr bin Ubbad,Male,Comp.(RA)
Abdullah bin Unays al-Juhani (0),1048,عبد الله بن أنيس أبو يحيى الجهنى,عبد الله بن أنيس الجهني أبو يحيى المدني,Abdullah bin Unays al-Juhani (0),Male,Comp.(RA)
Abdullah bin Kab bin Malik b. Abi Kab (0),1131,عبد الله بن كعب بن مالك الأنصارى,عبد الله بن كعب بن مالك السلمي الأنصاري,Abdullah bin Kab bin Malik b. Abi Kab (0),Male,Comp.(RA)
Ubaydullah bin Kab bin Malik ,1132,عبيد الله بن كعب بن مالك الأنصارى,عبيد الله بن كعب بن مالك السلمي الأنصاري,Ubaydullah bin Kab bin Malik ,Male,Comp.(RA)
Mabad bin Kab bin Malik ,1133,معبد بن كعب بن مالك الأنصارى السلمى,معبد بن كعب بن مالك السلمي الأنصاري,Mabad bin Kab bin Malik ,Male,Comp.(RA)
Abdur Rahman bin Kab bin Malik (2),1134,عبد الرحمن بن كعب بن مالك الأنصارى,عبد الرحمن بن كعب بن مالك السلمي,Abdur Rahman bin Kab bin Malik (2),Male,Comp.(RA)
Abu al-Jaheem bin al-Harith bin al-Samma,1234,أبو جهيم بن الحارث بن الصمة الأنصارى,أبو الجهيم بن الحارث بن الصمة,Abu al-Jaheem bin al-Harith bin al-Samma,Male,Comp.(RA)
