sequence_id,sanad_chain,chain_length
19,عبد الله بن مسعود بن غافل الهذلى -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> يونس بن يزيد بن أبى النجاد الأيلى -> عبد الله بن وهب بن مسلم المصرى,5
20,عبد الله بن مسعود بن غافل الهذلى -> عبيد الله بن عبد الله بن عتبة بن مسعود -> محمد بن مسلم بن شهاب الزهرى -> يونس بن يزيد بن أبى النجاد الأيلى -> عبد الله بن وهب بن مسلم المصرى,5
21,أبو هريرة الدوسى -> مسلم بن يسار أبو عثمان الطنبذى المصرى -> حميد بن هانئ أبو هانئ الخولانى المصرى -> سعيد بن أبى أيوب أبو يحيى الخزاعى المصرى -> عبد الله بن يزيد أبو عبد الرحمن المقرئ,5
22,أبو هريرة الدوسى -> مسلم بن يسار أبو عثمان الطنبذى المصرى -> حميد بن هانئ أبو هانئ الخولانى المصرى -> سعيد بن أبى أيوب أبو يحيى الخزاعى المصرى -> عبد الله بن يزيد أبو عبد الرحمن المقرئ,5
23,أبو هريرة الدوسى -> مسلم بن يسار أبو عثمان الطنبذى المصرى -> شراحيل بن يزيد المعافرى المصرى -> عبد الرحمن بن شريح أبو شريح المعافرى -> عبد الله بن وهب بن مسلم المصرى,5
24,عبد الله بن مسعود بن غافل الهذلى -> عامر بن عبدة أبو إياس البجلى الكوفى -> المسيب بن رافع أبو العلاء الكاهلى الأسدى -> سليمان بن مهران الأعمش -> وكيع بن الجراح بن مليح الرؤاسى,5
25,عبد الله بن عمرو بن العاص -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> عبد الله بن طاوس بن كيسان اليمانى -> معمر بن راشد أبو عروة الأزدى البصرى -> عبد الرزاق بن همام أبو بكر الصنعانى,5
26,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> هشام بن حجير المكى -> سفيان بن عيينة الهلالى,4
27,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> هشام بن حجير المكى -> سفيان بن عيينة الهلالى,4
28,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> عبد الله بن طاوس بن كيسان اليمانى -> معمر بن راشد أبو عروة الأزدى البصرى -> عبد الرزاق بن همام أبو بكر الصنعانى,5
29,عبد الله بن عباس بن عبد المطلب الهاشمى -> مجاهد بن جبر أبو الحجاج المخزومى المكى -> قيس بن سعد المكى -> رباح بن أبى معروف بن أبى سارة المكى -> عبد الملك بن عمرو أبو عامر العقدى,5
30,عبد الله بن عباس بن عبد المطلب الهاشمى -> عبد الله بن عبيد الله بن أبى مليكة -> نافع بن عمر بن عبد الله بن جميل الجمحى,3
31,عبد الله بن عباس بن عبد المطلب الهاشمى -> طاوس بن كيسان أبو عبد الرحمن اليمانى -> هشام بن حجير المكى -> سفيان بن عيينة الهلالى,4
32,رجل من أصحاب على [ عنه أبو إسحاق ] -> عمرو بن عبد الله أبو إسحاق السبيعى -> سليمان بن مهران الأعمش -> عبد الله بن إدريس بن يزيد الأودى -> يحيى بن آدم بن سليمان أبو زكريا الكوفى,5
33,المغيرة بن مقسم أبو هشام الضبى الكوفى -> أبو بكر بن عياش بن سالم الأسدى المقرئ,2
34,محمد بن سيرين أبو بكر الأنصارى -> أيوب بن أبى تميمة السختيانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى,3
35,محمد بن سيرين أبو بكر الأنصارى -> هشام بن حسان الأزدى القردوسى البصرى -> حماد بن زيد بن درهم أبو إسماعيل البصرى,3
36,محمد بن سيرين أبو بكر الأنصارى -> هشام بن حسان الأزدى القردوسى البصرى -> فضيل بن عياض التميمى الزاهد,3
37,محمد بن سيرين أبو بكر الأنصارى -> هشام بن حسان الأزدى القردوسى البصرى -> مخلد بن الحسين أبو محمد الأزدى المهلبى,3
38,محمد بن سيرين أبو بكر الأنصارى -> عاصم بن سليمان الأحول البصرى -> إسماعيل بن زكريا بن مرة الخلقانى,3
39,طاوس بن كيسان أبو عبد الرحمن اليمانى -> سليمان بن موسى الأموى الدمشقى الأشدق -> عبد الرحمن بن عمرو بن أبى عمرو الأوزاعى -> عيسى بن يونس بن أبى إسحاق السبيعى,4
40,طاوس بن كيسان أبو عبد الرحمن اليمانى -> سليمان بن موسى الأموى الدمشقى الأشدق -> سعيد بن عبد العزيز التنوخى -> مروان بن محمد بن حسان الأسدى الطاطرى,4
41,عبد الله بن ذكوان أبو الزناد المدنى -> عبد الرحمن بن أبى الزناد المدنى -> عبد الملك بن قريب بن عبد الملك الأصمعى,3
42,سعد بن إبراهيم بن عبد الرحمن بن عوف -> مسعر بن كدام بن ظهير أبو سلمة الهلالى -> سفيان بن عيينة الهلالى,3
43,سعد بن إبراهيم بن عبد الرحمن بن عوف -> مسعر بن كدام بن ظهير أبو سلمة الهلالى -> سفيان بن عيينة الهلالى,3
44,عبد الله بن المبارك المروزى -> عبد الله بن عثمان بن جبلة عبدان العتكى,2
45,عبد الله بن المبارك المروزى -> العباس بن أبى رزمة,2
46,عبد الله بن المبارك المروزى -> إبراهيم بن إسحاق أبو إسحاق الطالقانى,2
47,الحجاج بن دينار الواسطى -> شهاب بن خراش بن حوشب الشيبانى -> إبراهيم بن إسحاق أبو إسحاق الطالقانى,3
48,عبد الله بن المبارك المروزى -> على بن الحسن بن شقيق المروزى,2
49,القاسم بن عبيد الله بن عبد الله بن عمر -> يحيى بن المتوكل أبو عقيل المدنى -> هاشم بن القاسم أبو النضر الليثى,3
50,يحيى بن سعيد بن قيس الأنصارى -> يحيى بن المتوكل أبو عقيل المدنى -> هاشم بن القاسم أبو النضر الليثى,3
51,القاسم بن عبيد الله بن عبد الله بن عمر -> يحيى بن المتوكل أبو عقيل المدنى -> من أخبر سفيان بن عيينة [ عن يحيى ] -> سفيان بن عيينة الهلالى,4
52,يحيى بن سعيد بن قيس الأنصارى -> يحيى بن المتوكل أبو عقيل المدنى -> من أخبر سفيان بن عيينة [ عن يحيى ] -> سفيان بن عيينة الهلالى,4
53,سفيان بن سعيد بن مسروق الثورى -> يحيى بن سعيد بن فروخ القطان,2
54,سفيان بن عيينة الهلالى -> يحيى بن سعيد بن فروخ القطان,2
55,شعبة بن الحجاج العتكى -> يحيى بن سعيد بن فروخ القطان,2
56,مالك بن أنس بن مالك بن أبى عامر الأصبحى -> يحيى بن سعيد بن فروخ القطان,2
57,عبد الله بن عون بن أرطبان أبو عون البصرى -> النضر بن شميل أبو الحسن المازنى النحوى,2
58,شعبة بن الحجاج العتكى -> شبابة بن سوار المدائنى,2
59,عبد الله بن المبارك المروزى -> على بن الحسين بن واقد المروزى,2
60,سفيان بن سعيد بن مسروق الثورى -> عبد الله بن المبارك المروزى -> على بن الحسين بن واقد المروزى,3
61,شعبة بن الحجاج العتكى -> عبد الله بن المبارك المروزى -> عثمان بن جبلة بن أبى رواد العتكى المروزى -> عبد الله بن عثمان بن جبلة عبدان العتكى,4
62,سفيان بن سعيد بن مسروق الثورى -> عيسى بن يونس بن أبى إسحاق السبيعى -> معلى بن منصور أبو يعلى الرازى,3
63,يحيى بن سعيد بن فروخ القطان -> محمد بن يحيى بن سعيد القطان -> عفان بن مسلم أبو عثمان الصفار الباهلى,3
64,يحيى بن سعيد بن فروخ القطان -> محمد بن يحيى بن سعيد القطان,2
65,خليفة بن موسى بن راشد العكلى -> يزيد بن هارون أبو خالد السلمى الواسطى,2
67,عبد الله بن المبارك المروزى -> عبد الله بن عثمان بن جبلة عبدان العتكى,2
68,عبد الله بن المبارك المروزى -> سفيان بن عبد الملك المروزى -> وهب بن زمعة التميمى المروزى,3
69,عبد الله بن المبارك المروزى -> سفيان بن عبد الملك المروزى -> وهب بن زمعة التميمى المروزى,3
70,عامر بن شراحيل الشعبى -> المغيرة بن مقسم أبو هشام الضبى الكوفى -> جرير بن عبد الحميد بن قرط الضبى,3
71,عامر بن شراحيل الشعبى -> المغيرة بن مقسم أبو هشام الضبى الكوفى -> المفضل بن مهلهل أبو عبد الرحمن السعدى -> حماد بن أسامة أبو أسامة القرشى الكوفى,4
72,الحارث بن عبد الله الأعور الهمدانى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> المغيرة بن مقسم أبو هشام الضبى الكوفى -> جرير بن عبد الحميد بن قرط الضبى,4
73,علقمة بن قيس بن عبد الله النخعى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> المغيرة بن مقسم أبو هشام الضبى الكوفى -> جرير بن عبد الحميد بن قرط الضبى,4
74,الحارث بن عبد الله الأعور الهمدانى -> إبراهيم بن يزيد بن قيس بن الأسود النخعى -> سليمان بن مهران الأعمش -> زائدة بن قدامة أبو الصلت الثقفى الكوفى -> أحمد بن عبد الله بن يونس اليربوعى,5
75,إبراهيم بن يزيد بن قيس بن الأسود النخعى -> المغيرة بن مقسم أبو هشام الضبى الكوفى -> زائدة بن قدامة أبو الصلت الثقفى الكوفى -> أحمد بن عبد الله بن يونس اليربوعى,4
76,إبراهيم بن يزيد بن قيس بن الأسود النخعى -> منصور بن المعتمر أبو عتاب السلمى -> زائدة بن قدامة أبو الصلت الثقفى الكوفى -> أحمد بن عبد الله بن يونس اليربوعى,4
77,حمزة بن حبيب أبو عمارة الزيات القارئ -> جرير بن عبد الحميد بن قرط الضبى,2
78,مرة بن شراحيل الهمدانى الطيب -> حمزة بن حبيب أبو عمارة الزيات القارئ -> جرير بن عبد الحميد بن قرط الضبى,3
79,إبراهيم بن يزيد بن قيس بن الأسود النخعى -> عبد الله بن عون بن أرطبان أبو عون البصرى -> حماد بن زيد بن درهم أبو إسماعيل البصرى -> عبد الرحمن بن مهدى بن حسان العنبرى,4
80,عبد الله بن حبيب أبو عبد الرحمن السلمى -> عاصم بن بهدلة الأسدى ابن أبى النجود -> حماد بن زيد بن درهم أبو إسماعيل البصرى,3
82,جابر بن يزيد بن الحارث الجعفى -> مسعر بن كدام بن ظهير أبو سلمة الهلالى -> يحيى بن آدم بن سليمان أبو زكريا الكوفى,3
83,سفيان بن عيينة الهلالى -> عبد الله بن الزبير بن عيسى الحميدى,2
84,الجراح بن مليح بن عدى الرؤاسى -> سفيان بن عقبة بن محمد السوائى -> عبد الحميد بن عبد الرحمن الحمانى,3
85,الجراح بن مليح بن عدى الرؤاسى -> قبيصة بن عقبة بن محمد بن سفيان السوائى -> عبد الحميد بن عبد الرحمن الحمانى,3
86,جابر بن يزيد بن الحارث الجعفى -> الجراح بن مليح بن عدى الرؤاسى -> سفيان بن عقبة بن محمد السوائى -> عبد الحميد بن عبد الرحمن الحمانى,4
87,جابر بن يزيد بن الحارث الجعفى -> الجراح بن مليح بن عدى الرؤاسى -> قبيصة بن عقبة بن محمد بن سفيان السوائى -> عبد الحميد بن عبد الرحمن الحمانى,4
88,زهير بن معاوية بن حديج أبو خيثمة الجعفى -> أحمد بن عبد الله بن يونس اليربوعى,2
89,جابر بن يزيد بن الحارث الجعفى -> زهير بن معاوية بن حديج أبو خيثمة الجعفى -> أحمد بن عبد الله بن يونس اليربوعى,3
90,سلام بن أبى مطيع أبو سعيد الخزاعى -> هشام بن عبد الملك أبو الوليد الطيالسى,2
91,جابر بن يزيد بن الحارث الجعفى -> سلام بن أبى مطيع أبو سعيد الخزاعى -> هشام بن عبد الملك أبو الوليد الطيالسى,3
92,سفيان بن عيينة الهلالى -> عبد الله بن الزبير بن عيسى الحميدى,2
93,جابر بن يزيد بن الحارث الجعفى -> سفيان بن عيينة الهلالى -> عبد الله بن الزبير بن عيسى الحميدى,3
94,سفيان بن عيينة الهلالى -> عبد الله بن الزبير بن عيسى الحميدى,2
96,أيوب بن أبى تميمة السختيانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى -> عبد الرحمن بن مهدى بن حسان العنبرى,3
97,أيوب بن أبى تميمة السختيانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى -> سليمان بن حرب الأزدى الواشحى,3
98,أيوب بن أبى تميمة السختيانى -> معمر بن راشد أبو عروة الأزدى البصرى -> عبد الرزاق بن همام أبو بكر الصنعانى,3
99,أيوب بن أبى تميمة السختيانى -> معمر بن راشد أبو عروة الأزدى البصرى -> عبد الرزاق بن همام أبو بكر الصنعانى,3
100,قتادة بن دعامة أبو الخطاب السدوسى -> همام بن يحيى بن دينار الأزدى العوذى -> عفان بن مسلم أبو عثمان الصفار الباهلى,3
101,قتادة بن دعامة أبو الخطاب السدوسى -> همام بن يحيى بن دينار الأزدى العوذى -> يزيد بن هارون أبو خالد السلمى الواسطى,3
102,الحسن بن أبى الحسن البصرى -> قتادة بن دعامة أبو الخطاب السدوسى -> همام بن يحيى بن دينار الأزدى العوذى -> يزيد بن هارون أبو خالد السلمى الواسطى,4
103,سعيد بن المسيب بن حزن القرشى المخزومى -> قتادة بن دعامة أبو الخطاب السدوسى -> همام بن يحيى بن دينار الأزدى العوذى -> يزيد بن هارون أبو خالد السلمى الواسطى,4
104,رقبة بن مصقلة العبدى الكوفى -> جرير بن عبد الحميد بن قرط الضبى,2
105,يونس بن عبيد بن دينار أبو عبيد العبدى -> شعبة بن الحجاج العتكى -> سليمان بن داود أبو داود الطيالسى -> نعيم بن حماد أبو عبد الله المروزى,4
106,يونس بن عبيد بن دينار أبو عبيد العبدى -> شعبة بن الحجاج العتكى -> سليمان بن داود أبو داود الطيالسى -> نعيم بن حماد أبو عبد الله المروزى -> محمد بن يحيى الذهلى النيسابورى,5
107,عوف بن أبى جميلة الأعرابى -> معاذ بن معاذ بن نصر أبو المثنى العنبرى,2
108,الحسن بن أبى الحسن البصرى -> عمرو بن عبيد المعتزلى -> معاذ بن معاذ بن نصر أبو المثنى العنبرى,3
109,أيوب بن أبى تميمة السختيانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى,2
110,أيوب بن أبى تميمة السختيانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى -> سليمان بن حرب الأزدى الواشحى,3
111,الحسن بن أبى الحسن البصرى -> أيوب بن أبى تميمة السختيانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى -> سليمان بن حرب الأزدى الواشحى,4
112,أيوب بن أبى تميمة السختيانى -> سلام بن أبى مطيع أبو سعيد الخزاعى -> سليمان بن حرب الأزدى الواشحى,3
113,إسرائيل بن موسى أبو موسى البصرى -> سفيان بن عيينة الهلالى -> عبد الله بن الزبير بن عيسى الحميدى,3
114,شعبة بن الحجاج العتكى -> معاذ بن معاذ بن نصر أبو المثنى العنبرى,2
115,حماد بن سلمة بن دينار أبو سلمة البصرى -> عفان بن مسلم أبو عثمان الصفار الباهلى,2
116,همام بن يحيى بن دينار الأزدى العوذى -> عفان بن مسلم أبو عثمان الصفار الباهلى,2
117,شعبة بن الحجاج العتكى -> سليمان بن داود أبو داود الطيالسى,2
118,على بن أبى طالب أمير المؤمنين -> يحيى بن الجزار العرنى الكوفى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> شعبة بن الحجاج العتكى -> سليمان بن داود أبو داود الطيالسى,5
119,عبد الله بن عباس بن عبد المطلب الهاشمى -> مقسم أبو القاسم مولى ابن عباس -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> الحسن بن عمارة أبو محمد البجلى -> شعبة بن الحجاج العتكى -> سليمان بن داود أبو داود الطيالسى,6
120,على بن أبى طالب أمير المؤمنين -> يحيى بن الجزار العرنى الكوفى -> الحكم بن عتيبة أبو محمد الكندى الكوفى -> الحسن بن عمارة أبو محمد البجلى -> شعبة بن الحجاج العتكى -> سليمان بن داود أبو داود الطيالسى,6
126,وضاح بن عبد الله أبو عوانة اليشكرى -> عفان بن مسلم أبو عثمان الصفار الباهلى,2
127,حمزة بن حبيب أبو عمارة الزيات القارئ -> على بن مسهر القرشى الكوفى,2
128,إبراهيم بن محمد أبو إسحاق الفزارى -> زكريا بن عدى بن الصلت أبو يحيى التيمى,2
129,عبد الله بن المبارك المروزى -> بعض أصحاب عبد الله بن المبارك عنه,2
130,عبد الله بن المبارك المروزى -> عبد الرزاق بن همام أبو بكر الصنعانى,2
132,إسماعيل بن إبراهيم بن مقسم ابن علية -> عفان بن مسلم أبو عثمان الصفار الباهلى,2
133,إسماعيل بن إبراهيم بن مقسم ابن علية -> عفان بن مسلم أبو عثمان الصفار الباهلى,2
134,مالك بن أنس بن مالك بن أبى عامر الأصبحى -> بشر بن عمر بن الحكم أبو محمد الزهرانى,2
135,محمد بن عبد الرحمن بن أبى ذئب العامرى -> حجاج بن محمد أبو محمد الأعور المصيصى -> يحيى بن معين بن عون أبو زكريا الغطفانى,3
136,عبد الله بن المبارك المروزى -> إبراهيم بن إسحاق أبو إسحاق الطالقانى,2
137,زيد بن أبى أنيسة أبو أسامة الجزرى -> عبيد الله بن عمرو بن أبى الوليد الرقى -> الوليد بن صالح أبو محمد الضبى النخاس,3
138,عبيد الله بن عمرو بن أبى الوليد الرقى -> عبد الله بن جعفر بن غيلان الرقى القرشى -> عبد السلام بن عبد الرحمن بن صخر الوابصى,3
139,أيوب بن أبى تميمة السختيانى -> حماد بن زيد بن درهم أبو إسماعيل البصرى -> سليمان بن حرب الأزدى الواشحى,3
143,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> يحيى بن يعمر البصرى -> عبد الله بن بريدة بن الحصيب الأسلمى -> كهمس بن الحسن أبو الحسن التميمى -> وكيع بن الجراح بن مليح الرؤاسى,6
144,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> يحيى بن يعمر البصرى -> عبد الله بن بريدة بن الحصيب الأسلمى -> كهمس بن الحسن أبو الحسن التميمى -> معاذ بن معاذ بن نصر أبو المثنى العنبرى,6
145,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> يحيى بن يعمر البصرى -> عبد الله بن بريدة بن الحصيب الأسلمى -> مطر بن طهمان أبو رجاء السلمى الوراق -> حماد بن زيد بن درهم أبو إسماعيل البصرى,6
146,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> يحيى بن يعمر البصرى -> عبد الله بن بريدة بن الحصيب الأسلمى -> مطر بن طهمان أبو رجاء السلمى الوراق -> حماد بن زيد بن درهم أبو إسماعيل البصرى,6
147,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> يحيى بن يعمر البصرى -> عبد الله بن بريدة بن الحصيب الأسلمى -> مطر بن طهمان أبو رجاء السلمى الوراق -> حماد بن زيد بن درهم أبو إسماعيل البصرى,6
148,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> حميد بن عبد الرحمن الحميرى -> عبد الله بن بريدة بن الحصيب الأسلمى -> عثمان بن غياث الراسبى الزهرانى البصرى -> يحيى بن سعيد بن فروخ القطان,6
149,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> يحيى بن يعمر البصرى -> عبد الله بن بريدة بن الحصيب الأسلمى -> عثمان بن غياث الراسبى الزهرانى البصرى -> يحيى بن سعيد بن فروخ القطان,6
150,عمر بن الخطاب أمير المؤمنين -> عبد الله بن عمر بن الخطاب العدوى -> يحيى بن يعمر البصرى -> سليمان بن طرخان أبو المعتمر التيمى -> معتمر بن سليمان بن طرخان التيمى الطفيل -> يونس بن محمد بن مسلم أبو محمد المؤدب,6
151,أبو هريرة الدوسى -> أبو زرعة بن عمرو بن جرير البجلى -> يحيى بن سعيد بن حيان أبو حيان التيمى -> إسماعيل بن إبراهيم بن مقسم ابن علية,4
152,أبو هريرة الدوسى -> أبو زرعة بن عمرو بن جرير البجلى -> يحيى بن سعيد بن حيان أبو حيان التيمى -> إسماعيل بن إبراهيم بن مقسم ابن علية,4
153,أبو هريرة الدوسى -> أبو زرعة بن عمرو بن جرير البجلى -> يحيى بن سعيد بن حيان أبو حيان التيمى -> محمد بن بشر أبو عبد الله العبدى الكوفى,4
154,أبو هريرة الدوسى -> أبو زرعة بن عمرو بن جرير البجلى -> عمارة بن القعقاع بن شبرمة الضبى الكوفى -> جرير بن عبد الحميد بن قرط الضبى,4
155,طلحة بن عبيد الله بن عثمان التيمى -> مالك بن أبى عامر الأصبحى -> نافع بن مالك بن أبى عامر الأصبحى -> مالك بن أنس بن مالك بن أبى عامر الأصبحى,4
156,طلحة بن عبيد الله بن عثمان التيمى -> مالك بن أبى عامر الأصبحى -> نافع بن مالك بن أبى عامر الأصبحى -> إسماعيل بن جعفر بن أبى كثير الأنصارى,4
157,طلحة بن عبيد الله بن عثمان التيمى -> مالك بن أبى عامر الأصبحى -> نافع بن مالك بن أبى عامر الأصبحى -> إسماعيل بن جعفر بن أبى كثير الأنصارى,4
158,أنس بن مالك بن النضر الأنصارى -> ثابت بن أسلم البنانى -> سليمان بن المغيرة أبو سعيد القيسى البصرى -> هاشم بن القاسم أبو النضر الليثى,4
159,أنس بن مالك بن النضر الأنصارى -> ثابت بن أسلم البنانى -> سليمان بن المغيرة أبو سعيد القيسى البصرى -> بهز بن أسد أبو الأسود العمى البصرى,4
160,خالد بن زيد أبو أيوب الأنصارى -> موسى بن طلحة بن عبيد الله التيمى -> عمرو بن عثمان بن عبد الله بن موهب التيمى -> عبد الله بن نمير أبو هشام الهمدانى,4
161,خالد بن زيد أبو أيوب الأنصارى -> موسى بن طلحة بن عبيد الله التيمى -> عثمان بن عبد الله بن موهب التيمى الأعرج -> شعبة بن الحجاج العتكى -> بهز بن أسد أبو الأسود العمى البصرى,5
162,خالد بن زيد أبو أيوب الأنصارى -> موسى بن طلحة بن عبيد الله التيمى -> محمد بن عثمان بن عبد الله بن موهب التيمى -> شعبة بن الحجاج العتكى -> بهز بن أسد أبو الأسود العمى البصرى,5
163,خالد بن زيد أبو أيوب الأنصارى -> موسى بن طلحة بن عبيد الله التيمى -> عثمان بن عبد الله بن موهب التيمى الأعرج -> شعبة بن الحجاج العتكى -> بهز بن أسد أبو الأسود العمى البصرى,5
164,خالد بن زيد أبو أيوب الأنصارى -> موسى بن طلحة بن عبيد الله التيمى -> محمد بن عثمان بن عبد الله بن موهب التيمى -> شعبة بن الحجاج العتكى -> بهز بن أسد أبو الأسود العمى البصرى,5
165,خالد بن زيد أبو أيوب الأنصارى -> موسى بن طلحة بن عبيد الله التيمى -> عمرو بن عبد الله أبو إسحاق السبيعى -> سلام بن سليم أبو الأحوص الحنفى,4
166,خالد بن زيد أبو أيوب الأنصارى -> موسى بن طلحة بن عبيد الله التيمى -> عمرو بن عبد الله أبو إسحاق السبيعى -> سلام بن سليم أبو الأحوص الحنفى,4
167,أبو هريرة الدوسى -> أبو زرعة بن عمرو بن جرير البجلى -> يحيى بن سعيد بن حيان أبو حيان التيمى -> وهيب بن خالد بن عجلان أبو بكر الباهلى -> عفان بن مسلم أبو عثمان الصفار الباهلى,5
168,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> طلحة بن نافع أبو سفيان الواسطى الإسكاف -> سليمان بن مهران الأعمش -> محمد بن خازم أبو معاوية الضرير,4
169,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> طلحة بن نافع أبو سفيان الواسطى الإسكاف -> سليمان بن مهران الأعمش -> محمد بن خازم أبو معاوية الضرير,4
170,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> ذكوان أبو صالح السمان الزيات -> سليمان بن مهران الأعمش -> شيبان بن عبد الرحمن أبو معاوية النحوى -> عبيد الله بن موسى بن باذام العبسى,5
171,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> طلحة بن نافع أبو سفيان الواسطى الإسكاف -> سليمان بن مهران الأعمش -> شيبان بن عبد الرحمن أبو معاوية النحوى -> عبيد الله بن موسى بن باذام العبسى,5
172,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> ذكوان أبو صالح السمان الزيات -> سليمان بن مهران الأعمش -> شيبان بن عبد الرحمن أبو معاوية النحوى -> عبيد الله بن موسى بن باذام العبسى,5
173,جابر بن عبد الله بن عمرو بن حرام الأنصارى -> طلحة بن نافع أبو سفيان الواسطى الإسكاف -> سليمان بن مهران الأعمش -> شيبان بن عبد الرحمن أبو معاوية النحوى -> عبيد الله بن موسى بن باذام العبسى,5
